0.71,0.83,0.03,0.48,0.56
0.06,0.67,0.38,0.06,0.44
0.70,0.81,0.07,0.27,1.00
0.47,0.72,0.34,0.51,0.11
0.04,0.76,0.45,0.00,0.44
0.46,0.78,0.10,0.23,0.78
0.64,0.80,0.00,0.63,0.22
0.63,0.81,0.12,0.66,0.11
0.65,0.85,0.06,0.66,0.11
0.42,0.56,0.07,0.69,0.11
0.40,0.57,0.10,0.77,0.11
0.45,0.53,0.13,0.69,0.11
0.39,0.51,0.15,0.67,0.11
0.44,0.56,0.10,0.69,0.11
0.39,0.51,0.20,0.64,0.11
0.36,0.48,0.16,0.70,0.11
0.37,0.50,0.19,0.64,0.11
0.41,0.50,0.24,0.62,0.11
0.51,0.42,0.36,0.95,0.11
0.48,0.44,0.35,1.00,0.11
0.44,0.43,0.32,0.94,0.11
0.46,0.48,0.24,0.95,0.11
0.59,0.50,0.25,0.91,0.00
0.54,0.65,0.30,0.67,0.11
0.75,0.69,0.26,0.76,0.11
0.73,0.65,0.27,0.71,0.11
0.62,0.68,0.24,0.77,0.11
0.34,0.52,0.21,0.86,0.11
0.47,0.49,0.24,0.84,0.11
0.34,0.51,0.19,0.86,0.11
0.72,0.72,0.19,0.76,0.11
0.51,0.67,0.25,0.76,0.11
0.70,0.72,0.24,0.71,0.11
0.79,0.72,0.18,0.74,0.11
0.35,0.53,0.22,0.85,0.11
0.31,0.48,0.25,0.86,0.11
0.56,0.55,0.21,0.86,0.11
0.40,0.49,0.30,0.87,0.11
0.46,0.48,0.31,0.85,0.11
0.62,0.55,0.19,0.86,0.11
0.61,0.68,0.32,0.64,0.11
0.65,0.69,0.28,0.65,0.11
0.64,0.55,0.17,0.85,0.11
0.59,0.66,0.28,0.73,0.11
0.61,0.68,0.24,0.70,0.11
0.64,0.74,0.12,0.80,0.11
0.63,0.73,0.10,0.84,0.11
0.65,0.77,0.12,0.76,0.11
0.74,0.97,0.06,0.78,0.11
0.79,1.00,0.05,0.73,0.11
0.80,1.00,0.03,0.74,0.11
0.85,0.99,0.07,0.72,0.11
0.75,0.99,0.06,0.77,0.11
0.88,0.99,0.10,0.71,0.11
0.94,0.76,0.22,0.71,0.11
0.80,0.61,0.34,0.65,0.11
0.97,0.78,0.23,0.64,0.11
0.88,0.68,0.33,0.87,0.11
0.93,0.75,0.27,0.80,0.11
0.97,0.77,0.29,0.57,0.11
0.99,0.81,0.24,0.62,0.11
0.99,0.82,0.22,0.62,0.11
0.96,0.84,0.20,0.59,0.11
0.71,0.72,0.49,0.62,0.11
0.69,0.69,0.57,0.59,0.11
0.65,0.83,0.36,0.33,0.33
0.21,0.47,1.00,0.56,0.11
0.85,0.85,0.31,0.40,0.33
0.88,0.88,0.26,0.50,0.11
0.23,0.53,0.93,0.53,0.11
0.87,0.88,0.28,0.43,0.22
0.89,0.92,0.19,0.47,0.33
0.57,0.40,0.45,0.85,0.11
0.62,0.41,0.47,0.84,0.11
0.60,0.39,0.45,0.86,0.11
0.73,0.56,0.36,0.77,0.11
0.77,0.57,0.38,0.74,0.11
0.78,0.58,0.36,0.76,0.11
0.79,0.61,0.34,0.72,0.11
0.80,0.61,0.31,0.77,0.11
0.72,0.56,0.38,0.77,0.11
0.74,0.55,0.41,0.79,0.11
0.68,0.52,0.45,0.76,0.11
0.22,0.44,0.71,0.58,0.11
0.25,0.39,0.82,0.62,0.11
0.72,0.72,0.48,0.48,0.11
0.71,0.70,0.55,0.40,0.11
0.71,0.69,0.55,0.45,0.11
0.72,0.69,0.49,0.49,0.11
0.81,0.72,0.50,0.47,0.11
0.86,0.66,0.39,0.69,0.11
0.88,0.65,0.46,0.69,0.11
0.87,0.66,0.43,0.67,0.11
0.80,0.62,0.44,0.69,0.11
0.80,0.65,0.47,0.67,0.11
0.88,0.68,0.42,0.69,0.11
0.79,0.65,0.43,0.65,0.11
0.80,0.65,0.43,0.66,0.11
0.83,0.65,0.42,0.69,0.11
0.71,0.75,0.32,0.62,0.11
0.65,0.44,0.53,0.87,0.00
0.64,0.45,0.54,0.80,0.11
0.52,0.43,0.52,0.80,0.11
0.62,0.43,0.53,0.87,0.00
0.74,0.75,0.32,0.59,0.11
0.59,0.43,0.55,0.87,0.11
0.67,0.69,0.48,0.41,0.11
0.72,0.74,0.38,0.48,0.22
0.48,0.48,0.20,0.87,0.11
0.46,0.47,0.20,0.87,0.11
0.75,0.65,0.25,0.70,0.11
0.73,0.56,0.31,0.76,0.11
0.46,0.65,0.09,0.86,0.11
0.29,0.61,0.21,0.81,0.11
0.41,0.60,0.18,0.77,0.11
0.43,0.64,0.13,0.86,0.11
0.53,0.62,0.13,0.87,0.11
0.62,0.57,0.37,0.77,0.11
0.62,0.55,0.39,0.81,0.11
0.54,0.56,0.37,0.86,0.11
0.61,0.64,0.28,0.78,0.11
0.60,0.57,0.38,0.74,0.11
0.59,0.55,0.39,0.84,0.11
